Registro_HR;ID_Empleado;Fecha_de_Nacimiento;ID_Salida_Renuncia_a_fin_de_año;ID_Tipo_de_trabajo_por_viaje;ID_Área_de_trabajo;Distancia_del_hogar_al_trabajo_millas;ID Nivel_de_Educación;ID_Campo_Educativo;ID_Participación_en_el_trabajo;ID_Puesto;ID_Satisfacción_laboral;Salario_Mensual;N_de_empresas_en_las_que_trabajo;ID_Horas_extra;ID_Calificación_de_rendimiento;Total_de_años_de_trabajo;N_capacitaciones_que_recibió_el_año_pasado;ID_Balance_Vida_Trabajo;Fecha_de_contrato;Años_en_la_empresa;Años_en_el_puesto_actual;Años_desde_el_ultimo_ascenso;Años_con_el_gerente_actual
34;42;lunes, 3 de octubre de 1983;NO;VIAJA RARAMENTE;VENTAS;5;LICENCIATURA;TITULO TECNICO;ALTA;REPRESENTATE DE VENTAS;MUY ALTA;2086;3;SI;EXCELENTE;19;6;EXCELENTE;viernes, 19 de marzo de 2021;1;0;0;0
41;53;sábado, 28 de febrero de 1987;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;4;UNIVERSITARIO;OTRO;ALTA;TECNICO DE LABORATORIO;MUY ALTA;1951;1;SI;EXCELENTE;1;3;MUY BUENO;lunes, 19 de julio de 2021;1;0;0;0
42;54;miércoles, 13 de diciembre de 1995;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;2;MAESTRIA;CIENCIAS DE LA VIDA;ALTA;TECNICO DE LABORATORIO;BAJA;2341;1;SI;EXCELENTE;1;6;MUY BUENO;viernes, 2 de abril de 2021;1;0;0;0
51;64;jueves, 14 de noviembre de 1974;NO;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;1;UNIVERSITARIO;CIENCIAS DE LA VIDA;MEDIA;TECNICO DE LABORATORIO;ALTA;5381;9;NO;EXCELENTE;23;2;MUY BUENO;viernes, 3 de septiembre de 2021;1;0;0;0
68;86;martes, 22 de noviembre de 1977;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;7;LICENCIATURA;CIENCIAS DE LA VIDA;ALTA;CIENTIFICO DE INVESTIGACION;BAJA;9724;2;SI;EXCELENTE;25;2;MUY BUENO;viernes, 6 de agosto de 2021;1;0;0;0
70;90;viernes, 27 de junio de 1986;NO;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;9;LICENCIATURA;MEDICO;MEDIA;CIENTIFICO DE INVESTIGACION;ALTA;3388;0;NO;EXCELENTE;2;0;BUENO;jueves, 5 de agosto de 2021;1;0;0;0
75;97;jueves, 27 de febrero de 1986;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;6;LICENCIATURA;CIENCIAS DE LA VIDA;MUY ALTA;TECNICO DE LABORATORIO;MUY ALTA;3038;3;SI;EXCELENTE;5;3;MUY BUENO;jueves, 15 de abril de 2021;1;0;0;0
102;134;sábado, 24 de marzo de 1990;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;1;POR DEBAJO DE LA UNIVERSIDAD;CIENCIAS DE LA VIDA;ALTA;CIENTIFICO DE INVESTIGACION;BAJA;2956;1;SI;EXCELENTE;1;2;MUY BUENO;miércoles, 15 de septiembre de 2021;1;0;0;0
115;151;jueves, 19 de mayo de 1988;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;6;MAESTRIA;CIENCIAS DE LA VIDA;MEDIA;CIENTIFICO DE INVESTIGACION;MEDIA;4505;6;SI;EXCELENTE;12;3;MUY BUENO;miércoles, 15 de septiembre de 2021;1;0;0;0
150;201;viernes, 28 de noviembre de 2003;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;3;POR DEBAJO DE LA UNIVERSIDAD;MEDICO;ALTA;TECNICO DE LABORATORIO;MEDIA;1483;1;SI;EXCELENTE;1;3;MUY BUENO;domingo, 25 de julio de 2021;1;0;0;0
157;211;domingo, 25 de abril de 1971;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;7;MAESTRIA;MEDICO;MEDIA;DIRECTOR DE MANUFACTURA;ALTA;6132;2;SI;EXCELENTE;10;2;MUY BUENO;miércoles, 17 de noviembre de 2021;1;0;0;0
199;271;miércoles, 7 de marzo de 1984;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;2;MAESTRIA;CIENCIAS DE LA VIDA;ALTA;DIRECTOR DE MANUFACTURA;ALTA;6553;9;SI;EXCELENTE;14;3;MUY BUENO;sábado, 13 de febrero de 2021;1;0;0;0
205;282;viernes, 12 de octubre de 1984;NO;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;29;POR DEBAJO DE LA UNIVERSIDAD;MEDICO;ALTA;REPRESENTANTE DE ATENCION MEDICA;BAJA;6673;7;NO;EXCELENTE;17;2;MUY BUENO;martes, 28 de diciembre de 2021;1;0;0;0
216;298;sábado, 8 de agosto de 1981;SI;VIAJA RARAMENTE;VENTAS;6;LICENCIATURA;CIENCIAS DE LA VIDA;ALTA;GERENTE DE EJECUTIVO DE VENTAS;MUY ALTA;13591;3;NO;EXCELENTE;16;3;MUY BUENO;domingo, 3 de enero de 2021;1;0;0;0
226;309;miércoles, 24 de abril de 1963;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;3;LICENCIATURA;CIENCIAS DE LA VIDA;MEDIA;CIENTIFICO DE INVESTIGACION;MUY ALTA;2177;3;SI;EXCELENTE;7;6;MUY BUENO;martes, 14 de septiembre de 2021;1;0;0;0
243;334;viernes, 2 de enero de 1981;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;19;UNIVERSITARIO;CIENCIAS DE LA VIDA;ALTA;CIENTIFICO DE INVESTIGACION;BAJA;3072;2;SI;EXCELENTE;17;2;BUENO;viernes, 17 de septiembre de 2021;1;0;0;0
259;353;martes, 9 de noviembre de 1971;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;1;LICENCIATURA;CIENCIAS DE LA VIDA;ALTA;CIENTIFICO DE INVESTIGACION;MUY ALTA;2723;1;SI;EXCELENTE;1;0;BUENO;viernes, 17 de septiembre de 2021;1;0;0;0
328;445;domingo, 27 de febrero de 1983;NO;VIAJA RARAMENTE;VENTAS;3;UNIVERSITARIO;MEDICO;ALTA;EJECUTIVO DE VENTAS;ALTA;5238;4;NO;EXCELENTE;12;3;BUENO;domingo, 19 de septiembre de 2021;1;0;0;0
334;451;martes, 21 de agosto de 1979;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;7;LICENCIATURA;CIENCIAS DE LA VIDA;ALTA;REPRESENTANTE DE ATENCION MEDICA;BAJA;9985;8;SI;EXCELENTE;10;1;BUENO;sábado, 30 de octubre de 2021;1;0;0;0
349;468;jueves, 9 de octubre de 1980;SI;VIAJA RARAMENTE;INVESTIGACIOÓN Y DESARROLLO;23;DOCTORADO;CIENCIAS DE LA VIDA;ALTA;DIRECTOR INVESTIGACION Y DESARROLLO;MUY ALTA;15992;2;SI;EXCELENTE;16;2;MUY BUENO;viernes, 29 de enero de 2021;1;0;0;0
364;485;miércoles, 23 de agosto de 1989;NO;VIAJA RARAMENTE;VENTAS;5;LICENCIATURA;MARKETING;ALTA;REPRESENTATE DE VENTAS;ALTA;2851;1;NO;EXCELENTE;1;2;MUY BUENO;viernes, 19 de marzo de 2021;1;0;0;0
